Codigo;Tipo de Activo;Vinculado o no;Tipo de Titulo;Emisor;NIT;Tipo Inversion;Tipo Registro;Sisitema TRansaccional;Tipo Moneda;Tipo Sector;Calificacion;Dias Vencimiento;Duracion;VPN;
71717171;;;16;Banco Av Villas S.A.;8600358275;;1;1;1;2; 4;176;0;1012020000;
71717171;;;16;Banco Av Villas S.A.;8600358275;;1;1;1;2;1;522;1,3176;10113300000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;102;0;1005910000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;38;0;509195000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;183;0;2000780000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;365;0;1991460000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;70;0;507740000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;43;0,1096;503015000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;248;0;997920000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;1;366;0;1991040000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;212;0;3501820000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;212;0;16508580000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;315;0;1554765000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;339;0;5006250000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;6;340;0;5005150000;
71717171;;;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;;1;1;1;2;1;369;0;1002510000;
71717171;;;16;Banco De Bogota S.A.;8600029644;;1;1;1;2;6;284;0;4027320000;
71717171;;;16;Banco Popular S.A.;8600077389;;1;1;1;2; 4;327;0;2031420000;
71717171;;;16;Banco Corpbanca Colombia S.A;8909039370;;1;1;1;2;1;702;1,6407;6068040000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;739;1,7366;955190000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;485;1,1729;1482045000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;395;0,9681;985660000;
71717171;;;16;Bancolombia S.A.;8909039388;;1;1;1;2;1;395;0,9681;1478490000;
71717171;;;16;Citibank Colombia S.A.;8600511354;;1;1;1;2;1;565;1,3566;1961260000;
71717171;;;16;Citibank Colombia S.A.;8600511354;;1;1;1;2;1;569;0;2057380000;
71717171;;;16;Citibank Colombia S.A.;8600511354;;1;1;1;2;1;569;0;1028690000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;466;1,1275;988440000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;6;347;0,8576;991200000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;459;0;994220000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;394;0,9646;988190000;
71717171;;;16;Bbva Colombia S.A.;8600030201;;1;1;1;2;1;816;1,9265;955390000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;1;418;1,0253;2944500000;
71717171;;;16;Banco De Occidente S.A.;8903002794;;1;1;1;2;1;709;1,786;6055320000;
71717171;;;3;Banco Davivienda S.A.;8600343137;;1;1;1;2;1;677;1,6095;967250000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2;1;704;1,7736;3031530000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2;1;708;1,7835;1009480000;
71717171;;;16;Leasing Bancolombia S.A. Compañi­a de Financiamiento;8600592943;;1;1;1;2;6;205;0;519005000;
