COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;Emisor;NIT10;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;547;0;5103000000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;359;0;10035700000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;382;0;10149200000,00
9011356;1;2;16;Banco BTG Pactual Colombia S.A.;9014915510;2;1;1;1;2;1;382;0;5077400000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;384;0;5080200000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;346;0;1067680000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;346;0;5340500000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;339;0;8022450000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;391;0;4047720000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;339;0;2139320000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;338;0;1513095000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;328;0;4073840000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;586;0;15057450000,00
9011356;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;413;0;7038150000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;414;0;10051800000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;457;0;5362950000,00
9011356;1;2;16;Banco Santander De Negocios Colombia S.A.;9006281103;2;1;1;1;2;1;417;0;4017480000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;493;0;10533800000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;457;0;10725900000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;473;0;7476280000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;497;0;10246300000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;513;0;10489400000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;495;0;5125900000,00
9011356;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;512;0;5095850000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;7634200545,50
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;353;0;9050490000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;288;0;8144880000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;203;0;5177400000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;6;212;0;5088000000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;282;0;4114680000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;389;0;3168330000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;291;0;10173000000,00
9011356;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;438;0;10188000000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;389;0;5280550000,00
