ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO; DURACION ;  VPN  ;FIC
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;5930485000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;1617405000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;579;0;2393173383.98;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;27;0;524400000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;243;0;517590000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;259;0;1015110000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;259;0;5075550000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;259;0;5075550000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;243;0;5175900000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;27;0;1573200000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;4313080000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;2156540000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;539135000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;1078270000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;2156540000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;243;0;4658310000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;2156540000;VP
9633;1;2;16;Bancolombia Panamá S.A.                           ;92914910597;2;1;1;2;2;1;283;0;16063260103.55;VP
9633;1;2;3;Servicios Financieros S.A - Serfinansa C.F.;8600431866;2;1;1;1;2;1;157;0;1009220000;VP
9633;1;2;3;Servicios Financieros S.A - Serfinansa C.F.;8600431866;2;1;1;1;2;1;157;0;1009220000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;185;0;5016650000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;219;0;1006690000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;226;0;1001750000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;226;0;1001750000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;226;0;1001750000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;226;0;1001750000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;226;0;1001750000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;226;0;1001750000;VP
9633;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;221;0;501090000;VP
9633;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;221;0;501090000;VP
9633;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;45;0;3014370000;VP
9633;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;48;0;1004380000;VP
9633;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;48;0;2008760000;VP
9633;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;56;0;3009810000;VP
9633;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;56;0;3009810000;VP
9633;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;91;0;2007460000;VP
9633;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;462;0;503470000;VP
9633;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;462;0;2013880000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;6;0;502445000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;6;0;1507335000;VP
9633;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;491;0;3017700000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;22;0;2004520000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;150;0;2008320000;VP
9633;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;192;0;1003780000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;204;0;2004220000;VP
9633;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;577;0;2005520000;VP
9633;1;2;3;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;577;0;2005520000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;304;0;1998140000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;151;0;1001230000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;216;0;4030200000;VP
9633;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;582;0;503835000;VP
9633;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;582;0;503835000;VP
9633;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;582;0;503835000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;226;0;500875000;VP
9633;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;70;0;4522455000;VP
9633;1;2;3;Servicios Financieros S.A - Serfinansa C.F.;8600431866;2;1;1;1;2;1;157;0;414789420;VP
9633;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;646;0;577898000;VP
9633;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;421;0;2979060000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;427;0;7487925000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;428;0;2495450000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;430;0;1994460000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;341;0;4008080000;VP
9633;1;2;16;Banco Caja Social;8600073354;2;1;1;1;2;1;342;0;501145000;VP
9633;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;99;0;2013320000;VP
9633;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;252;0;3003750000;VP
9633;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;1;351;0;4007120000;VP
9633;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;16746809557.25;VP
9633;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;6678145012.91;VP
9633;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;6144513663.43;VP
9633;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;54649178469.28;VP
9633;2;2;0;Scotiabank Colombia S.A.;8600517052;0;0;0;0;0;0;0;0;8409170.93;VP
9633;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;6236523016.28;VP
9633;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;5731445072.28;VP
9633;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;14844419810.37;VP
9633;2;2;0;Helm Bank;8600076603;0;0;0;0;0;0;0;0;15834887984.07;VP
9633;2;2;0;Banco Colpatria Multibanca Colpatria S.A.;8600345941;0;0;0;0;0;0;0;0;19857716725.66;VP
9633;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;105241654561.75;VP
9633;2;2;0;Banco Caja Social;8600073354;0;0;0;0;0;0;0;0;5415371157.44;VP
9633;2;2;0;Megabanco S.A.;8600349215;0;0;0;0;0;0;0;0;0;VP
9633;2;2;0;Banco Agrario De Colombia S.A;8000378008;0;0;0;0;0;0;0;0;2374651305.03;VP
9633;2;2;0;Financiera America S.A. Compað?A De Financiamiento;8600259715;0;0;0;0;0;0;0;0;4923551424.31;VP
9633;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;7952489472.88;VP
9633;2;2;0;Banco Av Villas S.A.;8600358275;0;0;0;0;0;0;0;0;10643916244.96;VP
9633;2;2;0;Banco Pichincha S.A.;8902007567;0;0;0;0;0;0;0;0;4694792075.63;VP
9633;2;2;0;Coomeva Cooperativa Financiera;9001721483;0;0;0;0;0;0;0;0;1550909913.25;VP
9633;2;2;0;Banco Santander De Negocios Colombia S.A.;9006281103;0;0;0;0;0;0;0;0;1679160591.12;VP
9633;2;2;0;Banco Cooperativo Coopcentral;8902030889;0;0;0;0;0;0;0;0;5004828494;VP
9633;2;2;0;Cititrust Colombia S.A.;8001468148;0;0;0;0;0;0;0;0;0;VP
9633;2;1;0;Corporacion Financiera Colombiana S.A.;8903006536;0;0;0;0;0;0;0;0;27749723964.98;VP
25392;1;2;19;Titularizadora Colombiana S.A. Hitos;8300895306;2;1;1;1;2;1;2397;0;207512306.76;VP2
25392;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;853;0;508900000;VP2
25392;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;105;0;507160000;VP2
25392;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;163;0;1003390000;VP2
25392;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;178;0;1008990000;VP2
25392;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;168;0;505160000;VP2
25392;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;562;0;520465000;VP2
25392;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;168;0;1515480000;VP2
25392;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;122;0;507995000;VP2
25392;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;252;0;1011610000;VP2
25392;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;267;0;505040000;VP2
25392;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;290;0;1011780000;VP2
25392;1;2;16;Hsbc Colombia S.A.;8600509309;2;1;1;1;2;1;122;0;504980000;VP2
25392;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;323;0;1005870000;VP2
